train_loss,epoch,step,val_loss,val_mae,test_loss,test_mae
3936.082763671875,0,9,,,,
4046.11669921875,0,19,,,,
4056.9228515625,0,29,,,,
,0,36,4013.356689453125,62.87712478637695,,
4023.763916015625,1,39,,,,
3884.70751953125,1,49,,,,
4013.546142578125,1,59,,,,
3789.876708984375,1,69,,,,
,1,73,3932.479736328125,62.23099136352539,,
3926.193603515625,2,79,,,,
3875.72412109375,2,89,,,,
3916.35595703125,2,99,,,,
3708.0048828125,2,109,,,,
,2,110,3760.306884765625,60.8327522277832,,
3831.52294921875,3,119,,,,
3608.332763671875,3,129,,,,
3468.28759765625,3,139,,,,
,3,147,3405.035888671875,57.84069061279297,,
3325.324462890625,4,149,,,,
3316.14306640625,4,159,,,,
3109.7080078125,4,169,,,,
2834.8427734375,4,179,,,,
,4,184,2735.273681640625,51.73066711425781,,
2691.9208984375,5,189,,,,
2252.80615234375,5,199,,,,
2128.16259765625,5,209,,,,
1839.1083984375,5,219,,,,
,5,221,1694.4442138671875,40.438575744628906,,
1448.744384765625,6,229,,,,
1113.48388671875,6,239,,,,
831.0286865234375,6,249,,,,
,6,258,597.9667358398438,23.187870025634766,,
657.15234375,7,259,,,,
395.4923095703125,7,269,,,,
232.44366455078125,7,279,,,,
147.73110961914062,7,289,,,,
,7,295,99.68572998046875,8.279475212097168,,
88.5465316772461,8,299,,,,
69.01420593261719,8,309,,,,
69.07071685791016,8,319,,,,
59.766151428222656,8,329,,,,
,8,332,64.0042495727539,6.7032036781311035,,
64.59538269042969,9,339,,,,
64.81241607666016,9,349,,,,
65.85427856445312,9,359,,,,
55.564117431640625,9,369,,,,
,9,369,63.910892486572266,6.698140621185303,,
67.86264038085938,10,379,,,,
74.46410369873047,10,389,,,,
83.53092193603516,10,399,,,,
,10,406,63.771419525146484,6.696341037750244,,
62.08772659301758,11,409,,,,
64.96568298339844,11,419,,,,
68.33760070800781,11,429,,,,
47.641456604003906,11,439,,,,
,11,443,63.6824951171875,6.6908040046691895,,
67.70719909667969,12,449,,,,
61.10749816894531,12,459,,,,
61.42303466796875,12,469,,,,
72.35459899902344,12,479,,,,
,12,480,63.59116744995117,6.686017036437988,,
65.70188903808594,13,489,,,,
65.31600952148438,13,499,,,,
64.9783935546875,13,509,,,,
,13,517,63.49477767944336,6.68161678314209,,
56.891326904296875,14,519,,,,
66.64075469970703,14,529,,,,
66.21633911132812,14,539,,,,
69.04147338867188,14,549,,,,
,14,554,63.411190032958984,6.676113605499268,,
67.8526611328125,15,559,,,,
60.66822052001953,15,569,,,,
64.56793975830078,15,579,,,,
66.26994323730469,15,589,,,,
,15,591,63.310546875,6.672887802124023,,
61.489078521728516,16,599,,,,
56.015541076660156,16,609,,,,
62.71129608154297,16,619,,,,
,16,628,63.212379455566406,6.669799327850342,,
77.1832275390625,17,629,,,,
57.8375244140625,17,639,,,,
60.6240234375,17,649,,,,
58.80946350097656,17,659,,,,
,17,665,63.11933898925781,6.663070201873779,,
54.997222900390625,18,669,,,,
69.04853820800781,18,679,,,,
52.129669189453125,18,689,,,,
68.4306411743164,18,699,,,,
,18,702,63.031455993652344,6.65719747543335,,
60.88542938232422,19,709,,,,
58.95061492919922,19,719,,,,
72.4935302734375,19,729,,,,
68.12329864501953,19,739,,,,
,19,739,62.928794860839844,6.653309345245361,,
64.64564514160156,20,749,,,,
54.34794616699219,20,759,,,,
53.08077621459961,20,769,,,,
,20,776,62.83913040161133,6.647146224975586,,
72.21902465820312,21,779,,,,
63.02949523925781,21,789,,,,
