train_loss,epoch,step,val_loss,val_mae,test_loss,test_mae
394.45416259765625,0,9,,,,
270.5699462890625,0,19,,,,
82.30413055419922,0,29,,,,
,0,36,90.20159149169922,7.888569355010986,,
89.62863159179688,1,39,,,,
72.7247085571289,1,49,,,,
62.05967330932617,1,59,,,,
71.76325988769531,1,69,,,,
,1,73,62.307674407958984,6.363758563995361,,
70.23522186279297,2,79,,,,
57.610111236572266,2,89,,,,
62.42490768432617,2,99,,,,
65.31481170654297,2,109,,,,
,2,110,58.450557708740234,6.204506874084473,,
69.81959533691406,3,119,,,,
56.786964416503906,3,129,,,,
54.631874084472656,3,139,,,,
,3,147,57.07872009277344,6.210575103759766,,
59.72924041748047,4,149,,,,
52.89574432373047,4,159,,,,
54.922996520996094,4,169,,,,
47.37413787841797,4,179,,,,
,4,184,55.44474792480469,6.08506441116333,,
63.52336883544922,5,189,,,,
49.00975799560547,5,199,,,,
44.207157135009766,5,209,,,,
51.8726806640625,5,219,,,,
,5,221,54.514808654785156,6.060690402984619,,
48.565895080566406,6,229,,,,
63.962066650390625,6,239,,,,
55.67097854614258,6,249,,,,
,6,258,53.94031524658203,5.981081008911133,,
55.57937240600586,7,259,,,,
62.791255950927734,7,269,,,,
53.563926696777344,7,279,,,,
46.750999450683594,7,289,,,,
,7,295,53.42903518676758,5.935225963592529,,
58.60904312133789,8,299,,,,
49.97378158569336,8,309,,,,
46.5530891418457,8,319,,,,
66.37752532958984,8,329,,,,
,8,332,51.704315185546875,5.886763572692871,,
50.217987060546875,9,339,,,,
44.57270050048828,9,349,,,,
55.360633850097656,9,359,,,,
61.9334716796875,9,369,,,,
,9,369,53.45396041870117,5.90730619430542,,
59.47061538696289,10,379,,,,
44.26776885986328,10,389,,,,
49.55561447143555,10,399,,,,
,10,406,50.44875717163086,5.812897682189941,,
48.211727142333984,11,409,,,,
49.20099639892578,11,419,,,,
51.1935920715332,11,429,,,,
54.09365463256836,11,439,,,,
,11,443,52.35308837890625,5.849371910095215,,
50.97162628173828,12,449,,,,
49.48527908325195,12,459,,,,
56.1998176574707,12,469,,,,
58.32703399658203,12,479,,,,
,12,480,56.40421676635742,6.050577163696289,,
53.724143981933594,13,489,,,,
51.25547409057617,13,499,,,,
44.61378860473633,13,509,,,,
,13,517,64.353759765625,6.571033954620361,,
66.64566040039062,14,519,,,,
44.59892272949219,14,529,,,,
51.01102066040039,14,539,,,,
49.309814453125,14,549,,,,
,14,554,55.23279571533203,6.118509292602539,,
47.36553192138672,15,559,,,,
66.27141571044922,15,569,,,,
50.3861198425293,15,579,,,,
43.034423828125,15,589,,,,
,15,591,47.73137283325195,5.643896579742432,,
43.86526870727539,16,599,,,,
41.54952621459961,16,609,,,,
46.49653625488281,16,619,,,,
,16,628,49.20851516723633,5.694084167480469,,
41.186832427978516,17,629,,,,
39.428565979003906,17,639,,,,
41.058467864990234,17,649,,,,
50.234397888183594,17,659,,,,
,17,665,46.68686294555664,5.624366760253906,,
34.768646240234375,18,669,,,,
47.77375793457031,18,679,,,,
45.66520309448242,18,689,,,,
46.1355094909668,18,699,,,,
,18,702,45.8831787109375,5.556085586547852,,
39.28622817993164,19,709,,,,
47.61870574951172,19,719,,,,
57.64448547363281,19,729,,,,
32.3140754699707,19,739,,,,
,19,739,46.90610122680664,5.64808988571167,,
45.673133850097656,20,749,,,,
48.29313659667969,20,759,,,,
43.02153778076172,20,769,,,,
,20,776,53.38604736328125,5.919726371765137,,
52.719058990478516,21,779,,,,
59.43067932128906,21,789,,,,
42.324501037597656,21,799,,,,
41.07721710205078,21,809,,,,
,21,813,45.85443878173828,5.545854091644287,,
44.333343505859375,22,819,,,,
43.10299301147461,22,829,,,,
34.48440170288086,22,839,,,,
49.38739776611328,22,849,,,,
,22,850,45.76506423950195,5.53249454498291,,
38.993621826171875,23,859,,,,
45.74666213989258,23,869,,,,
37.32933807373047,23,879,,,,
,23,887,46.19895553588867,5.582576751708984,,
40.37370300292969,24,889,,,,
34.8748893737793,24,899,,,,
35.593013763427734,24,909,,,,
