train_loss,epoch,step,val_loss,val_mae,test_loss,test_mae
3970.4736328125,0,9,,,,
3990.327392578125,0,19,,,,
4145.412109375,0,29,,,,
,0,36,4090.481689453125,63.51616668701172,,
4124.01416015625,1,39,,,,
4105.43603515625,1,49,,,,
3991.994384765625,1,59,,,,
4042.5244140625,1,69,,,,
,1,73,4087.11572265625,63.48967742919922,,
4098.20654296875,2,79,,,,
4067.8779296875,2,89,,,,
3969.1318359375,2,99,,,,
4080.785400390625,2,109,,,,
,2,110,4083.65625,63.462432861328125,,
3998.62646484375,3,119,,,,
4108.58544921875,3,129,,,,
4038.1220703125,3,139,,,,
,3,147,4080.059814453125,63.43409729003906,,
4072.960693359375,4,149,,,,
4021.39892578125,4,159,,,,
4012.69482421875,4,169,,,,
4000.49658203125,4,179,,,,
,4,184,4076.302001953125,63.404476165771484,,
3985.9541015625,5,189,,,,
4051.580078125,5,199,,,,
4055.797607421875,5,209,,,,
4111.48193359375,5,219,,,,
,5,221,4072.34033203125,63.37323760986328,,
3955.11669921875,6,229,,,,
4169.9599609375,6,239,,,,
3929.23974609375,6,249,,,,
,6,258,4068.13720703125,63.3400764465332,,
4109.361328125,7,259,,,,
4058.49755859375,7,269,,,,
4100.5244140625,7,279,,,,
3996.84765625,7,289,,,,
,7,295,4063.659423828125,63.304725646972656,,
4022.903564453125,8,299,,,,
4020.18505859375,8,309,,,,
3952.578369140625,8,319,,,,
4075.6689453125,8,329,,,,
,8,332,4058.85595703125,63.26677703857422,,
4022.41162109375,9,339,,,,
3968.612548828125,9,349,,,,
4076.595703125,9,359,,,,
4019.2998046875,9,369,,,,
,9,369,4053.677978515625,63.225852966308594,,
3895.0380859375,10,379,,,,
4125.19140625,10,389,,,,
4087.6337890625,10,399,,,,
,10,406,4048.075439453125,63.181541442871094,,
3944.38134765625,11,409,,,,
3892.30517578125,11,419,,,,
4112.3583984375,11,429,,,,
3952.70458984375,11,439,,,,
,11,443,4041.991943359375,63.13338088989258,,
4234.806640625,12,449,,,,
4034.2900390625,12,459,,,,
3830.75390625,12,469,,,,
4040.953125,12,479,,,,
,12,480,4035.35595703125,63.080806732177734,,
3961.60693359375,13,489,,,,
4024.9248046875,13,499,,,,
4042.3994140625,13,509,,,,
,13,517,4028.11279296875,63.02336502075195,,
4020.69775390625,14,519,,,,
3977.237548828125,14,529,,,,
3983.919921875,14,539,,,,
4033.238525390625,14,549,,,,
,14,554,4020.203369140625,62.960594177246094,,
3974.85595703125,15,559,,,,
4020.1591796875,15,569,,,,
3886.66845703125,15,579,,,,
3909.78125,15,589,,,,
,15,591,4011.5712890625,62.89200973510742,,
3967.04541015625,16,599,,,,
4039.44091796875,16,609,,,,
3969.780517578125,16,619,,,,
,16,628,4002.152099609375,62.817081451416016,,
4037.18603515625,17,629,,,,
3907.54833984375,17,639,,,,
3998.650634765625,17,649,,,,
4029.684814453125,17,659,,,,
,17,665,3991.899169921875,62.73542785644531,,
4055.5146484375,18,669,,,,
3959.70068359375,18,679,,,,
3992.35595703125,18,689,,,,
3950.56103515625,18,699,,,,
,18,702,3980.7626953125,62.64662170410156,,
4130.5126953125,19,709,,,,
3947.26123046875,19,719,,,,
4024.431640625,19,729,,,,
3878.260498046875,19,739,,,,
,19,739,3968.6513671875,62.54990005493164,,
4060.34228515625,20,749,,,,
4033.6728515625,20,759,,,,
4030.03271484375,20,769,,,,
,20,776,3955.489501953125,62.444610595703125,,
3915.48876953125,21,779,,,,
3954.170654296875,21,789,,,,
3882.664306640625,21,799,,,,
3881.212890625,21,809,,,,
,21,813,3941.119384765625,62.3294563293457,,
3893.766845703125,22,819,,,,
3892.10400390625,22,829,,,,
3880.2978515625,22,839,,,,
3929.123779296875,22,849,,,,
,22,850,3925.5126953125,62.20414352416992,,
3983.53662109375,23,859,,,,
