train_loss,epoch,step,val_loss,val_mae,test_loss,test_mae
504.0792236328125,0,9,,,,
308.1766662597656,0,19,,,,
452.70166015625,0,29,,,,
,0,36,180.5018310546875,11.199386596679688,,
272.62445068359375,1,39,,,,
144.50808715820312,1,49,,,,
130.8509521484375,1,59,,,,
130.3797607421875,1,69,,,,
,1,73,99.5679702758789,7.977770805358887,,
93.1074447631836,2,79,,,,
80.67713928222656,2,89,,,,
72.02617645263672,2,99,,,,
82.61180877685547,2,109,,,,
,2,110,71.6347427368164,6.840164661407471,,
73.77654266357422,3,119,,,,
64.5860824584961,3,129,,,,
58.56270980834961,3,139,,,,
,3,147,70.0405044555664,6.852586269378662,,
67.61235809326172,4,149,,,,
61.18943786621094,4,159,,,,
74.47566986083984,4,169,,,,
48.810951232910156,4,179,,,,
,4,184,62.55971908569336,6.435222625732422,,
76.51014709472656,5,189,,,,
57.028995513916016,5,199,,,,
49.44575500488281,5,209,,,,
56.18880844116211,5,219,,,,
,5,221,58.2783088684082,6.259032249450684,,
47.96773910522461,6,229,,,,
68.16642761230469,6,239,,,,
59.15958786010742,6,249,,,,
,6,258,56.298404693603516,6.141805648803711,,
58.37098693847656,7,259,,,,
68.21296691894531,7,269,,,,
64.23512268066406,7,279,,,,
46.69534683227539,7,289,,,,
,7,295,54.405338287353516,6.036370754241943,,
50.414188385009766,8,299,,,,
57.299781799316406,8,309,,,,
44.95163345336914,8,319,,,,
65.169921875,8,329,,,,
,8,332,70.33415222167969,6.853178024291992,,
54.17993927001953,9,339,,,,
48.34994125366211,9,349,,,,
52.370330810546875,9,359,,,,
49.05619430541992,9,369,,,,
,9,369,56.92660903930664,6.176809310913086,,
49.56732940673828,10,379,,,,
45.975425720214844,10,389,,,,
56.0312614440918,10,399,,,,
,10,406,50.89533233642578,5.813508033752441,,
44.85603332519531,11,409,,,,
51.31086730957031,11,419,,,,
50.63787078857422,11,429,,,,
48.95030975341797,11,439,,,,
,11,443,52.52653121948242,5.855514049530029,,
43.940887451171875,12,449,,,,
51.246429443359375,12,459,,,,
52.64716339111328,12,469,,,,
51.1533317565918,12,479,,,,
,12,480,50.3525505065918,5.757411479949951,,
49.686004638671875,13,489,,,,
55.01967239379883,13,499,,,,
46.94512939453125,13,509,,,,
,13,517,61.51252746582031,6.426164150238037,,
49.23059844970703,14,519,,,,
50.965736389160156,14,529,,,,
52.73957824707031,14,539,,,,
60.64310836791992,14,549,,,,
,14,554,58.39065170288086,6.268274784088135,,
41.19758987426758,15,559,,,,
61.80282974243164,15,569,,,,
70.5693359375,15,579,,,,
41.77194595336914,15,589,,,,
,15,591,49.34600067138672,5.759247779846191,,
40.36830139160156,16,599,,,,
39.84150314331055,16,609,,,,
49.70735168457031,16,619,,,,
,16,628,46.42592239379883,5.553898334503174,,
41.31861114501953,17,629,,,,
39.116180419921875,17,639,,,,
43.0474739074707,17,649,,,,
48.3897705078125,17,659,,,,
,17,665,50.392940521240234,5.816304683685303,,
38.43684387207031,18,669,,,,
50.110565185546875,18,679,,,,
45.84587860107422,18,689,,,,
45.6258544921875,18,699,,,,
,18,702,45.60562515258789,5.526632308959961,,
37.23483657836914,19,709,,,,
52.38140869140625,19,719,,,,
38.702903747558594,19,729,,,,
30.07036781311035,19,739,,,,
,19,739,46.069801330566406,5.540085792541504,,
43.0809326171875,20,749,,,,
45.65196990966797,20,759,,,,
43.41555404663086,20,769,,,,
,20,776,44.93232727050781,5.445593357086182,,
40.44855880737305,21,779,,,,
50.13521957397461,21,789,,,,
41.23177719116211,21,799,,,,
37.590911865234375,21,809,,,,
,21,813,46.617645263671875,5.51442289352417,,
49.55699920654297,22,819,,,,
51.33393096923828,22,829,,,,
47.33058166503906,22,839,,,,
41.60970687866211,22,849,,,,
,22,850,47.03603744506836,5.58080530166626,,
33.631927490234375,23,859,,,,
43.896209716796875,23,869,,,,
38.74360656738281,23,879,,,,
,23,887,44.116058349609375,5.414032936096191,,
41.15852737426758,24,889,,,,
34.21875762939453,24,899,,,,
33.347999572753906,24,909,,,,
38.98539352416992,24,919,,,,
,24,924,62.56645202636719,6.43451452255249,,
62.787967681884766,25,929,,,,
54.996803283691406,25,939,,,,
37.49195861816406,25,949,,,,
37.759613037109375,25,959,,,,
,25,961,64.36885833740234,6.501960754394531,,
43.569915771484375,26,969,,,,
37.651302337646484,26,979,,,,
43.295814514160156,26,989,,,,
,26,998,50.48443603515625,5.689688205718994,,
47.36912536621094,27,999,,,,
38.330360412597656,27,1009,,,,
40.297752380371094,27,1019,,,,
30.805194854736328,27,1029,,,,
,27,1035,45.719696044921875,5.448362827301025,,
37.374732971191406,28,1039,,,,
64.11315155029297,28,1049,,,,
43.78545379638672,28,1059,,,,
39.89567947387695,28,1069,,,,
,28,1072,43.55363464355469,5.350779056549072,,
35.224761962890625,29,1079,,,,
45.76172637939453,29,1089,,,,
43.67827224731445,29,1099,,,,
29.395450592041016,29,1109,,,,
,29,1109,44.609683990478516,5.389837265014648,,
33.46697998046875,30,1119,,,,
39.688323974609375,30,1129,,,,
43.92791748046875,30,1139,,,,
