train_loss,epoch,step,val_loss,val_mae,best_val_loss,test_loss,test_mae
3540.361328125,0,9,,,,,
3173.584228515625,0,19,,,,,
2947.8212890625,0,29,,,,,
,0,36,2741.716064453125,51.821868896484375,2758.525146484375,,
2581.71484375,1,39,,,,,
2255.828857421875,1,49,,,,,
1893.276611328125,1,59,,,,,
1682.2713623046875,1,69,,,,,
,1,73,1601.228759765625,39.31175994873047,1601.6861572265625,,
1479.9278564453125,2,79,,,,,
1258.855224609375,2,89,,,,,
1034.0228271484375,2,99,,,,,
939.7430419921875,2,109,,,,,
,2,110,910.5279541015625,29.24867820739746,913.4838256835938,,
758.58740234375,3,119,,,,,
680.1417846679688,3,129,,,,,
552.7510986328125,3,139,,,,,
,3,147,491.8534851074219,20.928598403930664,489.7562561035156,,
469.2430725097656,4,149,,,,,
385.076904296875,4,159,,,,,
320.43133544921875,4,169,,,,,
261.73870849609375,4,179,,,,,
,4,184,259.8966064453125,14.46297550201416,260.4272155761719,,
217.353271484375,5,189,,,,,
191.68350219726562,5,199,,,,,
157.33029174804688,5,209,,,,,
150.14425659179688,5,219,,,,,
,5,221,140.27610778808594,10.084861755371094,141.11337280273438,,
104.2243423461914,6,229,,,,,
122.45642852783203,6,239,,,,,
84.79169464111328,6,249,,,,,
,6,258,83.61048126220703,7.599043369293213,83.59581756591797,,
89.98369598388672,7,259,,,,,
83.64042663574219,7,269,,,,,
67.74745178222656,7,279,,,,,
58.49064254760742,7,289,,,,,
,7,295,60.38473129272461,6.417396068572998,59.91511154174805,,
60.101600646972656,8,299,,,,,
54.4778938293457,8,309,,,,,
42.88899230957031,8,319,,,,,
63.68245315551758,8,329,,,,,
,8,332,50.573875427246094,5.871704578399658,50.656009674072266,,
47.980709075927734,9,339,,,,,
42.276214599609375,9,349,,,,,
49.185401916503906,9,359,,,,,
51.95155715942383,9,369,,,,,
,9,369,47.33344268798828,5.674045085906982,46.55447769165039,,
46.93307876586914,10,379,,,,,
43.85642623901367,10,389,,,,,
52.95427703857422,10,399,,,,,
,10,406,45.447540283203125,5.540158748626709,46.02458572387695,,
44.75983428955078,11,409,,,,,
44.7652587890625,11,419,,,,,
48.74287033081055,11,429,,,,,
43.94269561767578,11,439,,,,,
,11,443,44.574825286865234,5.477207183837891,44.24802780151367,,
44.69627380371094,12,449,,,,,
44.608421325683594,12,459,,,,,
