train_loss,epoch,step,val_loss,val_mae,test_loss,test_mae
3641.020751953125,0,9,,,,
799.5784301757812,0,19,,,,
411.2701416015625,0,29,,,,
,0,36,97.26006317138672,7.866647720336914,,
159.06272888183594,1,39,,,,
113.22132110595703,1,49,,,,
67.35997009277344,1,59,,,,
51.879459381103516,1,69,,,,
,1,73,60.760250091552734,6.566427707672119,,
54.13580322265625,2,79,,,,
58.353004455566406,2,89,,,,
54.359397888183594,2,99,,,,
68.24816131591797,2,109,,,,
,2,110,63.309600830078125,6.607542514801025,,
67.91571044921875,3,119,,,,
61.41337585449219,3,129,,,,
46.47441482543945,3,139,,,,
,3,147,61.20185470581055,6.66754150390625,,
67.46723175048828,4,149,,,,
60.7601318359375,4,159,,,,
58.10908508300781,4,169,,,,
51.43998336791992,4,179,,,,
,4,184,60.82444381713867,6.5622758865356445,,
,5,185,,,55.35970687866211,6.242802143096924
