train_loss,epoch,step,val_loss,val_mae,test_loss,test_mae
3963.318359375,0,9,,,,
3974.765869140625,0,19,,,,
4120.123046875,0,29,,,,
,0,36,4057.004150390625,63.252159118652344,,
4087.921142578125,1,39,,,,
4057.1162109375,1,49,,,,
3929.374755859375,1,59,,,,
3961.61279296875,1,69,,,,
,1,73,3993.80078125,62.7506103515625,,
3992.28564453125,2,79,,,,
3932.2412109375,2,89,,,,
3800.0087890625,2,99,,,,
3863.291748046875,2,109,,,,
,2,110,3855.53515625,61.63917541503906,,
3725.778076171875,3,119,,,,
3763.613037109375,3,129,,,,
3606.17431640625,3,139,,,,
,3,147,3545.8046875,59.07328414916992,,
3527.632080078125,4,149,,,,
3347.7802734375,4,159,,,,
3182.56689453125,4,169,,,,
2978.547607421875,4,179,,,,
,4,184,2909.599853515625,53.41637420654297,,
2742.34228515625,5,189,,,,
2532.06103515625,5,199,,,,
2234.05810546875,5,209,,,,
1972.010498046875,5,219,,,,
,5,221,1848.269287109375,42.322509765625,,
1529.23193359375,6,229,,,,
1330.5897216796875,6,239,,,,
893.9175415039062,6,249,,,,
,6,258,660.2954711914062,24.505992889404297,,
670.0673828125,7,259,,,,
434.363037109375,7,269,,,,
260.2571105957031,7,279,,,,
130.03109741210938,7,289,,,,
,7,295,102.96285247802734,8.456117630004883,,
95.64109802246094,8,299,,,,
72.68043518066406,8,309,,,,
57.37916564941406,8,319,,,,
80.65833282470703,8,329,,,,
,8,332,66.06713104248047,6.629671573638916,,
66.50538635253906,9,339,,,,
60.35227966308594,9,349,,,,
72.04417419433594,9,359,,,,
54.8603515625,9,369,,,,
,9,369,65.84274291992188,6.6399054527282715,,
68.72117614746094,10,379,,,,
56.281959533691406,10,389,,,,
59.958621978759766,10,399,,,,
,10,406,65.6029281616211,6.628995418548584,,
69.24166107177734,11,409,,,,
65.78069305419922,11,419,,,,
59.060394287109375,11,429,,,,
58.73063659667969,11,439,,,,
,11,443,65.35790252685547,6.616745471954346,,
67.73181915283203,12,449,,,,
60.74883270263672,12,459,,,,
82.40615844726562,12,469,,,,
68.51460266113281,12,479,,,,
,12,480,65.17288970947266,6.611966133117676,,
72.33502197265625,13,489,,,,
70.52124786376953,13,499,,,,
65.91326904296875,13,509,,,,
,13,517,64.87261962890625,6.589781761169434,,
74.43607330322266,14,519,,,,
60.69951629638672,14,529,,,,
74.04728698730469,14,539,,,,
58.516197204589844,14,549,,,,
,14,554,64.64485168457031,6.578186988830566,,
63.864768981933594,15,559,,,,
87.45053100585938,15,569,,,,
74.37478637695312,15,579,,,,
61.989768981933594,15,589,,,,
,15,591,64.45722961425781,6.571684837341309,,
59.39643859863281,16,599,,,,
67.85118103027344,16,609,,,,
71.30528259277344,16,619,,,,
,16,628,64.20575714111328,6.554773807525635,,
67.054443359375,17,629,,,,
64.87045288085938,17,639,,,,
57.59249496459961,17,649,,,,
61.52439880371094,17,659,,,,
